image,category,model,dice,iou,hd95,cldice,precision,recall,specificity,accuracy
76_D,Diabetic Retinopathy,pruned,0.8006,0.6675,10.44,0.8542,0.8450,0.7605,0.9945,0.9855
77_D,Diabetic Retinopathy,benchmark,0.8102,0.6809,12.21,0.8224,0.9723,0.6944,0.9984,0.9755
77_D,Diabetic Retinopathy,proposed,0.8815,0.7881,4.12,0.8996,0.8948,0.8686,0.9917,0.9824
77_D,Diabetic Retinopathy,pruned,0.9351,0.8782,1.00,0.9543,0.9233,0.9473,0.9936,0.9901
78_D,Diabetic Retinopathy,benchmark,0.6100,0.4388,42.99,0.6700,0.9967,0.4395,0.9999,0.9794
78_D,Diabetic Retinopathy,proposed,0.8112,0.6824,26.42,0.8169,0.9259,0.7218,0.9978,0.9877
78_D,Diabetic Retinopathy,pruned,0.8879,0.7985,6.32,0.9072,0.8858,0.8901,0.9956,0.9918
79_D,Diabetic Retinopathy,benchmark,0.6079,0.4367,34.01,0.6315,0.9869,0.4393,0.9995,0.9573
79_D,Diabetic Retinopathy,proposed,0.8180,0.6920,17.00,0.8277,0.8945,0.7535,0.9927,0.9747
79_D,Diabetic Retinopathy,pruned,0.9197,0.8513,1.41,0.9408,0.9140,0.9254,0.9929,0.9878
7_A,AMD,benchmark,0.8290,0.7079,14.42,0.7736,0.9389,0.7421,0.9958,0.9755
7_A,AMD,proposed,0.8463,0.7336,7.21,0.8437,0.8222,0.8720,0.9836,0.9747
7_A,AMD,pruned,0.9027,0.8227,3.61,0.8787,0.8984,0.9071,0.9911,0.9844
80_D,Diabetic Retinopathy,benchmark,0.6642,0.4972,32.76,0.6818,0.9913,0.4994,0.9997,0.9653
80_D,Diabetic Retinopathy,proposed,0.8606,0.7553,16.76,0.8395,0.9496,0.7869,0.9969,0.9825
80_D,Diabetic Retinopathy,pruned,0.9318,0.8724,1.00,0.9397,0.9398,0.9240,0.9956,0.9907
81_D,Diabetic Retinopathy,benchmark,0.7852,0.6463,21.12,0.7929,0.9706,0.6592,0.9985,0.9747
81_D,Diabetic Retinopathy,proposed,0.8584,0.7519,8.25,0.8668,0.8663,0.8507,0.9901,0.9803
81_D,Diabetic Retinopathy,pruned,0.9310,0.8709,1.00,0.9457,0.9203,0.9420,0.9938,0.9902
82_D,Diabetic Retinopathy,benchmark,0.5073,0.3399,55.79,0.4878,0.8975,0.3536,0.9985,0.9759
82_D,Diabetic Retinopathy,proposed,0.6962,0.5340,39.40,0.6693,0.8044,0.6136,0.9946,0.9812
82_D,Diabetic Retinopathy,pruned,0.7874,0.6493,36.75,0.7439,0.8910,0.7053,0.9969,0.9866
83_D,Diabetic Retinopathy,benchmark,0.5640,0.3928,34.54,0.5965,0.9260,0.4055,0.9976,0.9568
83_D,Diabetic Retinopathy,proposed,0.7645,0.6188,30.00,0.7340,0.8804,0.6756,0.9932,0.9713
83_D,Diabetic Retinopathy,pruned,0.8620,0.7575,17.00,0.8489,0.8547,0.8695,0.9891,0.9808
84_D,Diabetic Retinopathy,benchmark,0.7122,0.5531,22.47,0.7172,0.9753,0.5609,0.9988,0.9637
84_D,Diabetic Retinopathy,proposed,0.8449,0.7314,11.66,0.8373,0.9061,0.7914,0.9929,0.9767
84_D,Diabetic Retinopathy,pruned,0.9043,0.8253,2.83,0.9173,0.9106,0.8981,0.9923,0.9848
85_D,Diabetic Retinopathy,benchmark,0.5488,0.3781,34.93,0.5600,0.9732,0.3821,0.9992,0.9543
85_D,Diabetic Retinopathy,proposed,0.7441,0.5925,23.32,0.7232,0.9162,0.6264,0.9955,0.9687
85_D,Diabetic Retinopathy,pruned,0.8660,0.7637,4.24,0.8916,0.9108,0.8255,0.9937,0.9814
86_D,Diabetic Retinopathy,benchmark,0.7083,0.5483,32.70,0.6899,0.9689,0.5581,0.9986,0.9673
86_D,Diabetic Retinopathy,proposed,0.8220,0.6977,22.36,0.7854,0.9038,0.7537,0.9939,0.9768
86_D,Diabetic Retinopathy,pruned,0.8835,0.7913,8.54,0.8705,0.9282,0.8429,0.9950,0.9842
87_D,Diabetic Retinopathy,benchmark,0.6840,0.5197,30.53,0.7166,0.9895,0.5226,0.9995,0.9617
87_D,Diabetic Retinopathy,proposed,0.8452,0.7319,14.03,0.8333,0.9293,0.7751,0.9949,0.9775
87_D,Diabetic Retinopathy,pruned,0.9320,0.8727,1.00,0.9464,0.9221,0.9421,0.9932,0.9891
88_D,Diabetic Retinopathy,benchmark,0.5656,0.3943,41.98,0.5905,0.9803,0.3974,0.9994,0.9555
88_D,Diabetic Retinopathy,proposed,0.7865,0.6481,22.20,0.7825,0.8908,0.7041,0.9932,0.9721
88_D,Diabetic Retinopathy,pruned,0.8764,0.7800,6.71,0.8956,0.9125,0.8431,0.9936,0.9827
89_D,Diabetic Retinopathy,benchmark,0.8260,0.7035,16.28,0.7971,0.9799,0.7139,0.9988,0.9770
89_D,Diabetic Retinopathy,proposed,0.8960,0.8116,6.40,0.8899,0.9148,0.8779,0.9932,0.9844
89_D,Diabetic Retinopathy,pruned,0.9428,0.8918,1.00,0.9569,0.9314,0.9544,0.9942,0.9911
8_A,AMD,benchmark,0.6909,0.5278,49.78,0.6404,0.9611,0.5393,0.9985,0.9682
8_A,AMD,proposed,0.7764,0.6345,20.00,0.7432,0.8402,0.7216,0.9903,0.9726
8_A,AMD,pruned,0.8688,0.7681,10.05,0.8294,0.9123,0.8293,0.9944,0.9835
90_D,Diabetic Retinopathy,benchmark,0.6854,0.5214,28.64,0.6754,0.9893,0.5243,0.9996,0.9668
90_D,Diabetic Retinopathy,proposed,0.8169,0.6905,13.42,0.8162,0.8969,0.7500,0.9936,0.9768
90_D,Diabetic Retinopathy,pruned,0.9061,0.8283,2.00,0.9185,0.9446,0.8706,0.9962,0.9876
91_D,Diabetic Retinopathy,benchmark,0.4036,0.2528,33.14,0.4692,0.9612,0.2555,0.9991,0.9405
91_D,Diabetic Retinopathy,proposed,0.7126,0.5535,24.60,0.7043,0.9377,0.5746,0.9967,0.9635
91_D,Diabetic Retinopathy,pruned,0.8862,0.7956,5.00,0.9035,0.9235,0.8518,0.9940,0.9828
92_D,Diabetic Retinopathy,benchmark,0.7319,0.5772,21.02,0.7086,0.9338,0.6018,0.9967,0.9683
92_D,Diabetic Retinopathy,proposed,0.8250,0.7022,14.04,0.8115,0.8435,0.8073,0.9884,0.9753
92_D,Diabetic Retinopathy,pruned,0.8759,0.7793,8.06,0.8735,0.8611,0.8913,0.9888,0.9818
93_D,Diabetic Retinopathy,benchmark,0.6005,0.4290,37.57,0.5756,0.9326,0.4428,0.9975,0.9573
93_D,Diabetic Retinopathy,proposed,0.7771,0.6355,23.35,0.7568,0.8730,0.7002,0.9921,0.9709
93_D,Diabetic Retinopathy,pruned,0.8707,0.7709,6.32,0.8622,0.8992,0.8438,0.9926,0.9818
94_D,Diabetic Retinopathy,benchmark,0.5324,0.3627,43.10,0.5675,0.9350,0.3721,0.9986,0.9655
94_D,Diabetic Retinopathy,proposed,0.7759,0.6339,17.46,0.7926,0.8341,0.7253,0.9920,0.9779
94_D,Diabetic Retinopathy,pruned,0.9019,0.8214,3.16,0.9116,0.9090,0.8950,0.9950,0.9897
95_D,Diabetic Retinopathy,benchmark,0.3569,0.2172,67.46,0.4282,0.8845,0.2235,0.9990,0.9742
95_D,Diabetic Retinopathy,proposed,0.6230,0.4524,42.38,0.6439,0.8206,0.5021,0.9964,0.9805
95_D,Diabetic Retinopathy,pruned,0.8875,0.7978,8.13,0.9081,0.8412,0.9393,0.9941,0.9924
96_D,Diabetic Retinopathy,benchmark,0.7185,0.5607,25.30,0.6823,0.9833,0.5661,0.9992,0.9661
96_D,Diabetic Retinopathy,proposed,0.8529,0.7436,10.63,0.8332,0.8904,0.8185,0.9916,0.9784
96_D,Diabetic Retinopathy,pruned,0.9186,0.8494,1.41,0.9202,0.9145,0.9227,0.9929,0.9875
97_D,Diabetic Retinopathy,benchmark,0.5026,0.3356,67.68,0.5161,0.9994,0.3357,1.0000,0.9516
97_D,Diabetic Retinopathy,proposed,0.7593,0.6119,34.93,0.7306,0.9679,0.6246,0.9984,0.9711
97_D,Diabetic Retinopathy,pruned,0.9247,0.8600,1.00,0.9431,0.9368,0.9130,0.9952,0.9892
98_D,Diabetic Retinopathy,benchmark,0.7978,0.6636,12.04,0.8137,0.9843,0.6706,0.9991,0.9736
98_D,Diabetic Retinopathy,proposed,0.8927,0.8062,3.00,0.9110,0.8867,0.8987,0.9903,0.9832
98_D,Diabetic Retinopathy,pruned,0.9399,0.8866,1.00,0.9497,0.9284,0.9517,0.9938,0.9906
99_D,Diabetic Retinopathy,benchmark,0.6974,0.5353,26.91,0.7255,0.9900,0.5383,0.9995,0.9633
99_D,Diabetic Retinopathy,proposed,0.8364,0.7189,9.22,0.8564,0.9129,0.7718,0.9937,0.9763
99_D,Diabetic Retinopathy,pruned,0.9199,0.8517,1.00,0.9457,0.9218,0.9180,0.9934,0.9874
9_A,AMD,benchmark,0.8804,0.7863,6.71,0.8802,0.9599,0.8130,0.9967,0.9803
9_A,AMD,proposed,0.8954,0.8106,1.41,0.9182,0.8639,0.9293,0.9857,0.9807
9_A,AMD,pruned,0.9427,0.8916,1.00,0.9514,0.9323,0.9534,0.9932,0.9897
